TRAINING RESULTS — v3 Colab MAX
=================================================================
Backbone:           DINOv2-Large
Effective batch:    64  (physical=8 × accum=8)
Input resolution:   518×518
Unfrozen blocks:    6
Epochs trained:     25
=================================================================

Best Val IoU:       0.4254  (epoch 24)
Final Val IoU:      0.4240
Final Val Acc:      0.7879
Final Val Loss:     0.6394

Per-Class Val IoU @ best epoch:
  Background           0.0000  
  Trees                0.5615  ████████████████
  Lush Bushes          0.4742  ██████████████
  Dry Grass            0.5936  █████████████████
  Dry Bushes           0.4332  ████████████
  Ground Clutter       0.2696  ████████
  Flowers              0.4813  ██████████████
  Logs                 0.2010  ██████
  Rocks                0.3319  █████████
  Landscape            0.3746  ███████████
  Sky                  0.9585  ████████████████████████████

=================================================================
Per-Epoch History:
  Ep    TrLoss    VaLoss    TrIoU    VaIoU    VaAcc
--------------------------------------------------
   1    2.1096    1.8885   0.3202   0.3172   0.7343
   2    1.8355    1.8164   0.4215   0.3556   0.7606
   3    1.7746    1.7926   0.4578   0.3704   0.7697
   4    1.7485    1.7756   0.4698   0.3823   0.7789
   5    1.7336    1.7653   0.4780   0.3838   0.7781
   6    1.7216    1.7625   0.4829   0.3923   0.7782
   7    1.7170    1.7570   0.4853   0.3957   0.7823
   8    1.7120    1.7540   0.4874   0.3964   0.7802
   9    1.7063    1.7534   0.4904   0.3959   0.7773
  10    1.7132    1.7576   0.4886   0.3835   0.7747
  11    1.7044    1.7487   0.4914   0.4048   0.7814
  12    1.6983    1.7440   0.4934   0.4110   0.7809
  13    1.6913    1.7438   0.4990   0.4043   0.7824
  14    1.6902    1.7393   0.4983   0.4142   0.7908
  15    1.6864    1.7362   0.5019   0.4153   0.7881
  16    1.6830    1.7355   0.5024   0.4224   0.7876
  17    1.6801    1.7326   0.5047   0.4201   0.7881
  18    1.6795    1.7310   0.5048   0.4162   0.7858
  19    1.6764    1.7296   0.5067   0.4195   0.7848
  20    1.6752    1.7275   0.5074   0.4206   0.7865
  21    1.6725    0.6433   0.5077   0.4231   0.7870
  22    1.6735    0.6409   0.5090   0.4222   0.7877
  23    1.6721    0.6400   0.5083   0.4249   0.7897
  24    1.6690    0.6396   0.5087   0.4254   0.7896
  25    1.6702    0.6394   0.5084   0.4240   0.7879
